
Leather Boots;common;20;40;8
Magic Tome;rare;20;200;2
Enchanted Ring;epic;20;500;1
Dragon Scale;legendary;20;1000;1
Silver Arrow;uncommon;20;60;6
Battle Axe;rare;20;250;3
Holy Symbol;epic;20;650;1
Demon Fang;legendary;20;1300;1
Torch;common;20;10;15
Lockpick;common;20;5;15
Rogue's Dagger;uncommon;20;85;5
Vampire Dust;rare;20;210;2
Shaman Beads;epic;20;620;1
Sorcerer's Staff;legendary;20;1400;1
Titanium Plate;rare;20;240;2
Crystal Dagger;epic;20;680;1
Eldritch Amulet;legendary;20;1500;1
Smoked Meat;common;20;30;9
Dragon Fang;epic;20;720;1
